human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
RPL8,FBgn0261602,RpL8,FBbt:00051053,adult corazonin neuron,1.0,1408.227938,1,3
RPL8,FBgn0261602,RpL8,FBbt:00048313,ITP neuron,1.0,1253.056781,1,4
RPL8,FBgn0261602,RpL8,FBbt:00111316,adult CCAP neuron,1.0,1166.152975,1,5
RPLP2,FBgn0003274,RpLP2,FBbt:00004211,photoreceptor neuron,1.0,3485.809869,26,1
RPLP2,FBgn0003274,RpLP2,FBbt:00003629,DN1 neuron,1.0,2802.938157,1,2
RPLP2,FBgn0003274,RpLP2,FBbt:00004046,LNv neuron,1.0,1930.892899,1,3
RPLP2,FBgn0003274,RpLP2,FBbt:00048313,ITP neuron,1.0,1726.107594,1,4
RPLP2,FBgn0003274,RpLP2,FBbt:00048011,Capability neuron,1.0,1726.007115,1,5
SEMA3F | SEMA6D,FBgn0011259,Sema1a,FBbt:00110925,Hugin neuron,0.970588,676.728331,1,1
SEMA3F | SEMA6D,FBgn0011259,Sema1a,FBbt:00048313,ITP neuron,0.952381,239.547772,1,2
SEMA3F | SEMA6D,FBgn0011259,Sema1a,FBbt:00007422,antennal lobe projection neuron,0.947368,2503.304633,16,3
SEMA3F | SEMA6D,FBgn0011259,Sema1a,FBbt:00049828,adult gamma Kenyon cell,0.939948,2275.792883,5,4
SEMA3F | SEMA6D,FBgn0011259,Sema1a,FBbt:00048284,adult multidendritic neuron,0.939394,1648.762388,10,5
SEMA3F | SEMA6D,FBgn0016059,Sema1b,FBbt:00058143,adult hemocyte,0.772093,1535.245779,7,1
SEMA3F | SEMA6D,FBgn0016059,Sema1b,FBbt:00057009,head cyst cell,0.542744,339.548733,4,2
SEMA3F | SEMA6D,FBgn0016059,Sema1b,FBbt:00111302,optic-lobe-associated cortex glial cell,0.540179,1284.860536,16,3
SEMA3F | SEMA6D,FBgn0016059,Sema1b,FBbt:00058249,adult gustatory receptor neuron,0.454167,2034.5879,22,4
SEMA3F | SEMA6D,FBgn0016059,Sema1b,FBbt:00051420,adult mechanosensory neuron,0.447462,2164.79435,22,5
SEMA3F | SEMA6D,FBgn0011260,Sema2a,FBbt:00058143,adult hemocyte,0.906977,3129.376735,7,1
SEMA3F | SEMA6D,FBgn0011260,Sema2a,FBbt:00049568,leg muscle motor neuron,0.486486,761.235118,16,2
SEMA3F | SEMA6D,FBgn0011260,Sema2a,FBbt:00067031,adult olfactory receptor neuron Or67d,0.456522,987.154621,6,3
SEMA3F | SEMA6D,FBgn0011260,Sema2a,FBbt:00058203,adult octopaminergic neuron,0.428571,884.5938,15,4
SEMA3F | SEMA6D,FBgn0011260,Sema2a,FBbt:00067059,adult olfactory receptor neuron Or92a,0.376068,933.736359,6,5
SEMA3F | SEMA6D,FBgn0264273,Sema2b,FBbt:00003727,columnar neuron T1,0.912879,1893.684884,18,1
SEMA3F | SEMA6D,FBgn0264273,Sema2b,FBbt:00049828,adult gamma Kenyon cell,0.751958,1296.657502,5,2
SEMA3F | SEMA6D,FBgn0264273,Sema2b,FBbt:00007422,antennal lobe projection neuron,0.710526,2753.902803,16,3
SEMA3F | SEMA6D,FBgn0264273,Sema2b,FBbt:00067064,adult olfactory receptor neuron Gr21a/63a,0.604396,912.856682,7,4
SEMA3F | SEMA6D,FBgn0264273,Sema2b,FBbt:00049834,adult alpha'/beta' Kenyon cell,0.59322,1645.801195,8,5
SNRK,FBgn0033915,Snrk,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.533333,780.152357,11,1
SNRK,FBgn0033915,Snrk,FBbt:00007439,adult antennal lobe projection neuron lPN,0.515464,338.530527,1,2
SNRK,FBgn0033915,Snrk,FBbt:00007438,adult antennal lobe projection neuron adPN,0.46395,272.4779,1,3
SNRK,FBgn0033915,Snrk,FBbt:00048298,CCHamide-1 neuron,0.45,211.168074,1,4
SNRK,FBgn0033915,Snrk,FBbt:00058267,adult pericerebral fat cell,0.41866,1032.460919,7,5
ATP6V0B,FBgn0028662,VhaPPA1-1,FBbt:00003768,distal medullary amacrine neuron Dm1,1.0,1420.59206,1,1
ATP6V0B,FBgn0028662,VhaPPA1-1,FBbt:00003771,distal medullary amacrine neuron Dm4,1.0,1080.02942,1,2
ATP6V0B,FBgn0028662,VhaPPA1-1,FBbt:00111273,distal medullary amacrine neuron Dm12,0.956522,2463.0745,13,3
ATP6V0B,FBgn0028662,VhaPPA1-1,FBbt:00003746,lamina intrinsic neuron Lai,0.953488,1013.269683,17,4
ATP6V0B,FBgn0028662,VhaPPA1-1,FBbt:00110066,proximal medullary amacrine neuron Pm3,0.952381,817.920038,2,5
VPS28,FBgn0021814,Vps28,FBbt:00048313,ITP neuron,0.714286,192.603691,1,1
VPS28,FBgn0021814,Vps28,FBbt:00003768,distal medullary amacrine neuron Dm1,0.677419,292.034103,1,2
VPS28,FBgn0021814,Vps28,FBbt:00110925,Hugin neuron,0.676471,188.194436,1,3
VPS28,FBgn0021814,Vps28,FBbt:00003746,lamina intrinsic neuron Lai,0.674419,1381.2155,10,4
VPS28,FBgn0021814,Vps28,FBbt:00058222,sugar-sensing neuron of the adult brain,0.666667,169.213498,1,5
VRK1,FBgn0027889,ball,FBbt:00004211,photoreceptor neuron,0.175,608.2725,17,1
VRK1,FBgn0027889,ball,FBbt:00051053,adult corazonin neuron,0.125,133.0495,1,2
VRK1,FBgn0027889,ball,FBbt:00111316,adult CCAP neuron,0.125,115.460106,1,3
VRK1,FBgn0027889,ball,FBbt:00047095,adult neuron,0.113139,1529.052,42,4
VRK1,FBgn0027889,ball,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.1,496.5474,7,5
B4GALT2,FBgn0027538,beta4GalNAcTA,FBbt:00048313,ITP neuron,0.380952,50.3891,1,1
B4GALT2,FBgn0027538,beta4GalNAcTA,FBbt:00110925,Hugin neuron,0.352941,116.253152,1,2
B4GALT2,FBgn0027538,beta4GalNAcTA,FBbt:00058222,sugar-sensing neuron of the adult brain,0.30303,132.501067,1,3
B4GALT2,FBgn0027538,beta4GalNAcTA,FBbt:00048142,allatostatin A neuron,0.297872,194.689543,1,4
B4GALT2,FBgn0027538,beta4GalNAcTA,FBbt:00003874,lobula columnar neuron LC4,0.25,262.938223,1,5
TRAPPC9,FBgn0261787,brun,FBbt:00111316,adult CCAP neuron,0.25,132.743247,1,1
TRAPPC9,FBgn0261787,brun,FBbt:00004211,photoreceptor neuron,0.15,754.87022,24,2
TRAPPC9,FBgn0261787,brun,FBbt:00047095,adult neuron,0.116788,986.07405,49,3
TRAPPC9,FBgn0261787,brun,FBbt:00100484,lobula columnar neuron LC12,0.115385,855.357057,4,4
TRAPPC9,FBgn0261787,brun,FBbt:00058143,adult hemocyte,0.103093,688.6955,7,5
TSC22D2,FBgn0259176,bun,FBbt:00058264,adult lamina neuropil associated glial cell,1.0,9508.684487,16,1
TSC22D2,FBgn0259176,bun,FBbt:00100497,adult glial cell,1.0,5647.511341,24,2
TSC22D2,FBgn0259176,bun,FBbt:00058251,adult perineurial glial cell,1.0,5027.586648,18,3
TSC22D2,FBgn0259176,bun,FBbt:00067016,adult olfactory receptor neuron Or13a,1.0,2909.374353,6,4
TSC22D2,FBgn0259176,bun,FBbt:00049568,leg muscle motor neuron,1.0,2289.471414,16,5
MROH1,FBgn0040236,c11.1,FBbt:00048471,nociceptive neuron,0.333333,318.51817,6,1
MROH1,FBgn0040236,c11.1,FBbt:00058244,adult sensory neuron,0.3,962.49193,9,2
MROH1,FBgn0040236,c11.1,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.3,563.91979,12,3
MROH1,FBgn0040236,c11.1,FBbt:00058251,adult perineurial glial cell,0.25,1186.13159,16,4
MROH1,FBgn0040236,c11.1,FBbt:00004242,ocellar retinula cell,0.222222,886.47344,7,5
ARHGAP28,FBgn0039994,conu,FBbt:00100501,adult brain cell body glial cell,0.859873,1197.27177,20,1
ARHGAP28,FBgn0039994,conu,FBbt:00058267,adult pericerebral fat cell,0.801435,983.616975,7,2
ARHGAP28,FBgn0039994,conu,FBbt:00059270,adult cell body glial cell,0.730469,1615.004391,10,3
ARHGAP28,FBgn0039994,conu,FBbt:00048284,adult multidendritic neuron,0.727273,1137.551054,10,4
ARHGAP28,FBgn0039994,conu,FBbt:00058203,adult octopaminergic neuron,0.714286,1268.52466,15,5
ZNF16 | ZNF251 | ZNF852,FBgn0020309,crol,FBbt:00004046,LNv neuron,0.914286,311.764723,1,1
ZNF16 | ZNF251 | ZNF852,FBgn0020309,crol,FBbt:00057009,head cyst cell,0.892644,598.291307,4,2
ZNF16 | ZNF251 | ZNF852,FBgn0020309,crol,FBbt:00048142,allatostatin A neuron,0.882979,496.857925,1,3
ZNF16 | ZNF251 | ZNF852,FBgn0020309,crol,FBbt:00110925,Hugin neuron,0.882353,359.580873,1,4
ZNF16 | ZNF251 | ZNF852,FBgn0020309,crol,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.875,868.013821,12,5
TCF12,FBgn0267821,da,FBbt:00051053,adult corazonin neuron,0.5,482.479765,1,1
TCF12,FBgn0267821,da,FBbt:00048471,nociceptive neuron,0.5,395.240755,6,2
TCF12,FBgn0267821,da,FBbt:00111316,adult CCAP neuron,0.5,273.925322,1,3
TCF12,FBgn0267821,da,FBbt:00051420,adult mechanosensory neuron,0.498229,1095.355681,22,4
TCF12,FBgn0267821,da,FBbt:00048274,mechanosensory neuron of leg chordotonal organ,0.472,777.336063,6,5
DCC,FBgn0011592,fra,FBbt:00048284,adult multidendritic neuron,0.727273,934.080696,10,1
DCC,FBgn0011592,fra,FBbt:00111302,optic-lobe-associated cortex glial cell,0.651786,1569.908845,16,2
DCC,FBgn0011592,fra,FBbt:00057009,head cyst cell,0.610338,329.486879,4,3
DCC,FBgn0011592,fra,FBbt:00049568,leg muscle motor neuron,0.567568,647.051206,16,4
DCC,FBgn0011592,fra,FBbt:00003727,columnar neuron T1,0.556818,1213.758818,18,5
CDC20,FBgn0001086,fzy,FBbt:00047095,adult neuron,0.116788,891.086067,35,1
CDC20,FBgn0001086,fzy,FBbt:00004211,photoreceptor neuron,0.1,230.42215,4,2
CDC20,FBgn0001086,fzy,FBbt:00057009,head cyst cell,0.062956,139.634761,4,3
CDC20,FBgn0001086,fzy,FBbt:00048284,adult multidendritic neuron,0.058824,836.12036,6,4
CDC20,FBgn0001086,fzy,FBbt:00005209,multidendritic neuron,0.043478,981.3543,6,5
L3MBTL4,FBgn0002441,l(3)mbt,FBbt:00058251,adult perineurial glial cell,0.25,2873.563,18,1
L3MBTL4,FBgn0002441,l(3)mbt,FBbt:00110061,adult Tachykinin neuron of the central nervous system,0.238095,489.683838,12,2
L3MBTL4,FBgn0002441,l(3)mbt,FBbt:00111762,lobula plate-lobula columnar neuron LPLC1,0.210526,375.645059,1,3
L3MBTL4,FBgn0002441,l(3)mbt,FBbt:00057009,head cyst cell,0.210073,181.976695,4,4
L3MBTL4,FBgn0002441,l(3)mbt,FBbt:00004211,photoreceptor neuron,0.2,736.9197,25,5
KIFC2,FBgn0002924,ncd,FBbt:00110066,proximal medullary amacrine neuron Pm3,0.095238,102.014535,1,1
KIFC2,FBgn0002924,ncd,FBbt:00048313,ITP neuron,0.095238,24.383913,1,2
KIFC2,FBgn0002924,ncd,FBbt:00058203,adult octopaminergic neuron,0.093333,319.514004,1,3
KIFC2,FBgn0002924,ncd,FBbt:00047095,adult neuron,0.091241,1097.348918,42,4
KIFC2,FBgn0002924,ncd,FBbt:00004046,LNv neuron,0.085714,117.41137,1,5
TRAIP,FBgn0034314,nopo,FBbt:00048471,nociceptive neuron,0.166667,225.7846,6,1
TRAIP,FBgn0034314,nopo,FBbt:00100500,adult brain surface glial cell,0.125,1204.8193,8,2
TRAIP,FBgn0034314,nopo,FBbt:00047095,adult neuron,0.105839,927.64386,45,3
TRAIP,FBgn0034314,nopo,FBbt:00100497,adult glial cell,0.1,1327.314125,16,4
TRAIP,FBgn0034314,nopo,FBbt:00058244,adult sensory neuron,0.1,409.896886,4,5
ABHD5,FBgn0033226,puml,FBbt:00111316,adult CCAP neuron,0.5,221.851894,1,1
ABHD5,FBgn0033226,puml,FBbt:00003720,lamina monopolar neuron L2,0.454545,868.8097,18,2
ABHD5,FBgn0033226,puml,FBbt:00003771,distal medullary amacrine neuron Dm4,0.4,181.221955,1,3
ABHD5,FBgn0033226,puml,FBbt:00003746,lamina intrinsic neuron Lai,0.395349,1288.37745,15,4
ABHD5,FBgn0033226,puml,FBbt:00003768,distal medullary amacrine neuron Dm1,0.387097,335.753605,1,5
ROBO2,FBgn0005631,robo1,FBbt:00058251,adult perineurial glial cell,0.583333,1591.07518,16,1
ROBO2,FBgn0005631,robo1,FBbt:00111316,adult CCAP neuron,0.5,253.441049,1,2
ROBO2,FBgn0005631,robo1,FBbt:00067016,adult olfactory receptor neuron Or13a,0.4,697.298228,6,3
ROBO2,FBgn0005631,robo1,FBbt:00013774,distal medullary amacrine neuron Dm8a,0.344828,1287.0013,17,4
ROBO2,FBgn0005631,robo1,FBbt:00003821,transmedullary Y neuron TmY4,0.333333,1567.007475,5,5
NKX2-4,FBgn0287186,scro,FBbt:00003720,lamina monopolar neuron L2,0.954545,3164.531032,18,1
NKX2-4,FBgn0287186,scro,FBbt:00003721,lamina monopolar neuron L3,0.922034,4446.374838,18,2
NKX2-4,FBgn0287186,scro,FBbt:00003776,medulla intrinsic neuron Mi1,0.89759,2794.679625,18,3
NKX2-4,FBgn0287186,scro,FBbt:00003746,lamina intrinsic neuron Lai,0.883721,3290.201926,17,4
NKX2-4,FBgn0287186,scro,FBbt:00003725,lamina monopolar neuron L5,0.883495,3338.148454,17,5
VGLL3,FBgn0003975,vg,FBbt:00058249,adult gustatory receptor neuron,0.7375,8520.526,21,1
VGLL3,FBgn0003975,vg,FBbt:00051420,adult mechanosensory neuron,0.733176,2058.121515,22,2
VGLL3,FBgn0003975,vg,FBbt:00048471,nociceptive neuron,0.677419,704.817174,6,3
VGLL3,FBgn0003975,vg,FBbt:00058247,adult pheromone-sensing neuron,0.632075,1341.059197,16,4
VGLL3,FBgn0003975,vg,FBbt:00051470,hemilineage 13B secondary neuron,0.567055,817.007532,1,5
