human_gene_symbols,dmel_gene_id,dmel_gene_symbol,cell_type_id,cell_type_name,max_spread,max_mean_expression,supporting_rows,within_gene_rank
WDR12,FBgn0032298,CG6724,FBbt:00110925,Hugin neuron,0.147059,117.079326,1,1
WDR12,FBgn0032298,CG6724,FBbt:00004046,LNv neuron,0.142857,131.419594,1,2
WDR12,FBgn0032298,CG6724,FBbt:00048142,allatostatin A neuron,0.117021,158.767205,1,3
WDR12,FBgn0032298,CG6724,FBbt:00058203,adult octopaminergic neuron,0.106667,1015.7711,4,4
WDR12,FBgn0032298,CG6724,FBbt:00051469,hemilineage 9B secondary neuron,0.105023,344.770188,1,5
LSM6,FBgn0034564,CG9344,FBbt:00004046,LNv neuron,0.771429,185.027098,1,1
LSM6,FBgn0034564,CG9344,FBbt:00048313,ITP neuron,0.52381,148.603226,1,2
LSM6,FBgn0034564,CG9344,FBbt:00003629,DN1 neuron,0.48,311.172148,1,3
LSM6,FBgn0034564,CG9344,FBbt:00110925,Hugin neuron,0.441176,173.789447,1,4
LSM6,FBgn0034564,CG9344,FBbt:00110107,adult insulin secreting cell of pars intercerebralis,0.4,365.802232,1,5
MFSD3,FBgn0036662,CG9706,FBbt:00048313,ITP neuron,0.380952,63.531019,1,1
MFSD3,FBgn0036662,CG9706,FBbt:00111316,adult CCAP neuron,0.25,218.0663,1,2
MFSD3,FBgn0036662,CG9706,FBbt:00058222,sugar-sensing neuron of the adult brain,0.212121,122.512538,1,3
MFSD3,FBgn0036662,CG9706,FBbt:00110925,Hugin neuron,0.205882,114.362213,1,4
MFSD3,FBgn0036662,CG9706,FBbt:00004046,LNv neuron,0.2,100.390413,1,5
CAMKV,FBgn0016126,CaMKI,FBbt:00004211,photoreceptor neuron,1.0,6160.696908,26,1
CAMKV,FBgn0016126,CaMKI,FBbt:00004207,dorsal margin photoreceptor cell,1.0,5542.513092,3,2
CAMKV,FBgn0016126,CaMKI,FBbt:00004242,ocellar retinula cell,1.0,4386.648364,7,3
CAMKV,FBgn0016126,CaMKI,FBbt:00003741,lamina wide-field 1 neuron,1.0,2942.298293,18,4
CAMKV,FBgn0016126,CaMKI,FBbt:00058203,adult octopaminergic neuron,1.0,1636.9837,15,5
TIE1,FBgn0022800,Cad96Ca,FBbt:00004230,pigment cell,0.268,1331.383643,7,1
TIE1,FBgn0022800,Cad96Ca,FBbt:00058238,adult epithelial cell,0.214169,1159.432945,7,2
TIE1,FBgn0022800,Cad96Ca,FBbt:00051420,adult mechanosensory neuron,0.206612,699.818565,12,3
TIE1,FBgn0022800,Cad96Ca,FBbt:00048471,nociceptive neuron,0.193548,203.899186,6,4
TIE1,FBgn0022800,Cad96Ca,FBbt:00058258,adult PNS glial cell,0.163017,855.801661,13,5
CDH8,FBgn0262018,CadN2,FBbt:00003721,lamina monopolar neuron L3,0.878788,4527.395375,18,1
CDH8,FBgn0262018,CadN2,FBbt:00003744,centrifugal neuron C3,0.866667,5927.153314,18,2
