human_gene_symbols,dmel_gene_id,dmel_gene_symbol,neuron_mean_expression,neuron_positive_percent,interneuron_mean_expression,interneuron_positive_percent,motor_neuron_mean_expression,motor_neuron_positive_percent,sensory_neuron_mean_expression,sensory_neuron_positive_percent,sensory_organ_cell_mean_expression,sensory_organ_cell_positive_percent,glial_cell_mean_expression,glial_cell_positive_percent
KDM4A,FBgn0033233,Kdm4A,542,3,851,2,368,4,535,3,570,3,527,3
KDM4A,FBgn0053182,Kdm4B,856,46,966,41,584,61,858,51,882,50,694,34
KIFC2,FBgn0002924,ncd,547,0,937,0,301,2,529,0,561,0,629,0
L3MBTL4,FBgn0032475,Sfmbt,552,6,858,4,376,8,559,6,598,6,540,4
L3MBTL4,FBgn0002441,l(3)mbt,534,6,874,4,395,7,518,6,558,5,575,6
LSM6,FBgn0034564,CG9344,544,2,835,1,397,0,534,2,571,2,519,2
MAPKAPK3,FBgn0013987,MAPk-Ak2,562,8,835,4,486,7,537,9,586,8,578,8
MED8,FBgn0034503,MED8,474,1,716,1,323,0,497,1,526,1,530,1
MEF2C,FBgn0011656,Mef2,862,41,1172,37,527,38,847,43,855,40,835,38
MFSD3,FBgn0036662,CG9706,514,1,766,1,391,3,522,1,610,1,589,2
MON1A,FBgn0031640,Mon1,509,1,860,0,210,1,507,1,557,1,568,1
MROH1,FBgn0040236,c11.1,545,7,829,4,417,6,543,8,614,8,581,9
MST1R,FBgn0025740,PlexB,720,30,946,24,576,47,664,29,690,27,639,24
NF1,FBgn0015269,Nf1,646,16,972,14,404,17,604,16,638,15,650,14
NKX2-4,FBgn0287186,scro,856,10,1208,30,551,0,731,3,782,7,726,11
NKX2-4,FBgn0261930,vnd,431,1,477,0,490,2,468,0,456,0,512,0
POC1B,FBgn0036354,Poc1,410,0,298,0,317,0,483,0,609,1,559,2
PPIH,FBgn0033089,CG17266,425,0,457,0,312,1,488,0,515,0,573,1
PPIH,FBgn0034753,CG2852,711,19,955,14,545,27,617,14,685,16,763,26
PPIH,FBgn0036415,CG7768,501,1,582,0,333,1,504,1,643,4,835,7
PPIH,FBgn0004432,Cyp1,839,35,1044,22,639,36,793,36,811,33,948,43
PPIH,FBgn0036020,Cyp40,536,3,786,2,390,4,536,3,571,3,539,3
PPIH,FBgn0039581,Moca-cyp,741,29,1035,27,628,45,692,26,729,26,693,23
PPIH,FBgn0002936,ninaA,631,3,807,2,0,0,677,7,668,8,700,1
PPP1R16A,FBgn0036801,MYPT-75D,1052,37,1290,28,672,36,1087,39,1120,39,1211,44
PTPRF,FBgn0000464,Lar,1803,78,2247,79,1548,89,1630,77,1575,70,1339,50
RBM6,FBgn0031318,CG4887,722,27,1013,25,708,62,662,23,686,23,681,23
RBM6,FBgn0031319,CG4896,641,16,912,11,541,35,606,15,645,15,620,14
RECQL4,FBgn0002906,Blm,546,3,807,2,297,4,566,3,598,3,587,3
RECQL4,FBgn0040290,RecQ4,447,1,380,0,573,3,533,0,567,0,534,0
RECQL4,FBgn0027375,RecQ5,536,4,824,2,430,5,543,4,575,4,585,3
REELD1,FBgn0039648,CG14515,428,0,702,0,0,0,483,0,532,0,493,0
REELD1,FBgn0034067,CG8399,523,7,802,1,273,2,554,8,622,5,596,4
REELD1,FBgn0261534,l(2)34Fc,574,7,813,0,435,2,600,9,631,5,723,6
RHOA,FBgn0014020,Rho1,709,25,925,13,472,19,667,26,734,24,800,32
RHOA,FBgn0014380,RhoL,462,3,761,0,413,2,461,3,537,3,637,5
RNF123,FBgn0038296,Kpc1,536,1,779,1,474,2,549,1,571,1,476,1
ROBO2,FBgn0005631,robo1,649,16,913,14,534,26,616,16,647,15,655,14
ROBO2,FBgn0002543,robo2,674,8,1047,9,671,19,539,4,648,7,822,13
ROBO2,FBgn0041097,robo3,663,9,847,6,545,22,629,7,642,7,560,5
RPL8,FBgn0261602,RpL8,1043,49,1210,40,752,59,962,50,973,48,1127,55
RPL8,FBgn0036135,mRpL2,523,2,807,1,262,2,527,3,563,2,557,3
RPLP2,FBgn0003274,RpLP2,1209,54,1343,43,1076,71,1058,52,1090,52,1436,65
SEMA3F | SEMA6D,FBgn0011259,Sema1a,1343,63,1725,66,1219,79,1275,61,1236,53,1214,43
SEMA3F | SEMA6D,FBgn0016059,Sema1b,594,14,875,5,435,9,591,15,633,12,687,18
SEMA3F | SEMA6D,FBgn0011260,Sema2a,680,13,927,10,539,24,613,12,618,11,576,7
SEMA3F | SEMA6D,FBgn0264273,Sema2b,837,20,1145,21,825,21,756,18,764,16,707,11
SH3RF2,FBgn0040294,POSH,480,2,782,1,339,3,492,1,534,1,496,1
SLC6A3 | SLC6A9,FBgn0031939,CG13796,425,2,692,0,489,4,425,1,481,1,531,2
SLC6A3 | SLC6A9,FBgn0028886,CG15279,456,3,821,0,427,3,462,2,538,1,654,2
SLC6A3 | SLC6A9,FBgn0033443,CG1698,549,1,810,1,319,0,526,1,574,1,620,1
SLC6A3 | SLC6A9,FBgn0035969,CG4476,356,0,804,0,154,0,333,0,445,0,520,0
SLC6A3 | SLC6A9,FBgn0033708,CG8850,511,1,796,0,411,4,524,1,543,1,583,1
SLC6A3 | SLC6A9,FBgn0034136,DAT,664,3,1087,4,506,1,581,3,704,2,1023,9
SLC6A3 | SLC6A9,FBgn0039915,Gat,572,2,828,2,751,1,512,1,592,2,971,10
SLC6A3 | SLC6A9,FBgn0034911,GlyT,604,8,914,11,499,12,560,8,580,7,510,5
SLC6A3 | SLC6A9,FBgn0034381,List,488,1,770,1,256,0,486,1,572,2,804,10
SLC6A3 | SLC6A9,FBgn0029762,NAAT1,566,7,849,1,393,3,523,7,627,6,641,6
SLC6A3 | SLC6A9,FBgn0267326,Ntl,435,0,0,0,0,0,510,0,522,0,671,2
SLC6A3 | SLC6A9,FBgn0010414,SerT,656,5,895,0,0,0,554,8,661,7,700,6
SLC6A3 | SLC6A9,FBgn0011603,ine,485,4,803,1,415,3,479,4,594,4,939,14
SNRK,FBgn0033915,Snrk,602,11,898,9,409,11,583,12,624,12,585,11
STK32C,FBgn0052944,CG32944,643,10,833,4,654,45,589,9,588,7,480,4
TCF12,FBgn0267821,da,707,26,968,16,535,21,711,30,729,26,668,22
TIE1,FBgn0031518,CG3277,510,1,853,1,305,0,504,0,461,0,685,0
TIE1,FBgn0022800,Cad96Ca,465,5,724,1,418,4,438,4,538,3,596,4
TIE1,FBgn0014073,Tie,671,14,809,1,466,3,704,18,771,16,938,19
TMEM200C,FBgn0035171,CG12502,725,4,928,11,404,0,763,1,727,3,440,4
TRAIP,FBgn0034312,CG10916,536,6,790,2,378,6,557,7,610,7,591,6
TRAIP,FBgn0026878,CG4325,421,0,691,0,531,0,450,0,503,0,524,0
TRAIP,FBgn0034314,nopo,432,1,851,0,465,1,457,1,526,1,549,1
TRAPPC9,FBgn0261787,brun,531,4,868,2,363,4,521,3,586,3,549,3
TSC22D2,FBgn0259176,bun,1846,80,1824,73,1462,88,1952,83,1941,81,2284,83
VGLL3,FBgn0003975,vg,661,9,890,0,356,2,660,13,644,0,762,5
VPS28,FBgn0021814,Vps28,642,5,879,2,402,2,561,5,613,5,617,7
VRK1,FBgn0031441,CG9962,273,0,0,0,0,0,106,0,246,4,246,4
VRK1,FBgn0027889,ball,550,1,797,0,247,0,505,0,554,0,408,1
VRK1,FBgn0027504,bsd,589,9,882,6,460,11,576,9,604,8,591,7
WDR12,FBgn0032298,CG6724,443,0,814,0,279,1,477,0,534,0,505,0
XRN2,FBgn0031868,Rat1,476,1,763,1,347,2,483,1,516,1,520,1
XRN2,FBgn0020261,pcm,545,3,862,2,361,5,518,3,572,3,588,2
ZNF16,FBgn0038047,CG5245,452,0,701,0,0,0,468,0,526,0,596,0
ZNF16 | ZNF251 | ZNF852,FBgn0020309,crol,926,49,1204,41,595,44,933,53,987,52,1012,54
